2024-03-02 00:03:07 - INFO -  Pywisher class is initailised. Datetime 2024-03-02 00:03:07.847811
2024-03-02 00:03:08 - INFO -  GetAttachMentService class is initialised.
2024-03-02 00:03:08 - INFO -  SendEmailService class is initialised.
2024-03-02 00:03:08 - INFO -  Triggering the whole process.
2024-03-02 00:03:08 - INFO -  Connection successful, searching email in inbox.
2024-03-02 00:03:08 - INFO -  Email fetched successfully.
2024-03-02 00:03:08 - INFO -  Converting bytes data to normal string.
2024-03-02 00:03:08 - INFO -  Converting byte to string.
2024-03-02 00:03:08 - INFO -  Extracted content of the file successfully.
2024-03-02 00:03:08 - INFO -  Creating pandas dataframe using the file content recieved.
2024-03-02 00:03:08 - INFO -  Iterating the data.
2024-03-02 00:03:08 - INFO -  Whole process completed successfully.
2024-03-03 00:02:53 - INFO -  Pywisher class is initailised. Datetime 2024-03-03 00:02:53.106607
2024-03-03 00:02:53 - INFO -  GetAttachMentService class is initialised.
2024-03-03 00:02:53 - INFO -  SendEmailService class is initialised.
2024-03-03 00:02:53 - INFO -  Triggering the whole process.
2024-03-03 00:02:53 - INFO -  Connection successful, searching email in inbox.
2024-03-03 00:02:54 - INFO -  Email fetched successfully.
2024-03-03 00:02:54 - INFO -  Converting bytes data to normal string.
2024-03-03 00:02:54 - INFO -  Converting byte to string.
2024-03-03 00:02:54 - INFO -  Extracted content of the file successfully.
2024-03-03 00:02:54 - INFO -  Creating pandas dataframe using the file content recieved.
2024-03-03 00:02:54 - INFO -  Iterating the data.
2024-03-03 00:02:54 - INFO -  Whole process completed successfully.
2024-03-04 00:03:38 - INFO -  Pywisher class is initailised. Datetime 2024-03-04 00:03:38.239103
2024-03-04 00:03:38 - INFO -  GetAttachMentService class is initialised.
2024-03-04 00:03:38 - INFO -  SendEmailService class is initialised.
2024-03-04 00:03:38 - INFO -  Triggering the whole process.
2024-03-04 00:03:38 - INFO -  Connection successful, searching email in inbox.
2024-03-04 00:03:39 - INFO -  Email fetched successfully.
2024-03-04 00:03:39 - INFO -  Converting bytes data to normal string.
2024-03-04 00:03:39 - INFO -  Converting byte to string.
2024-03-04 00:03:39 - INFO -  Extracted content of the file successfully.
2024-03-04 00:03:39 - INFO -  Creating pandas dataframe using the file content recieved.
2024-03-04 00:03:39 - INFO -  Iterating the data.
2024-03-04 00:03:39 - INFO -  Whole process completed successfully.
